idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
0	helix_relu_l1_l1_1e-04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_1e-04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_1e-04_seed0	helix	relu_l1	l1_coeff	0.0001	0
1	helix_relu_l1_l1_1e-04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_1e-04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_1e-04_seed1	helix	relu_l1	l1_coeff	0.0001	1
2	helix_relu_l1_l1_1e-04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_1e-04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_1e-04_seed2	helix	relu_l1	l1_coeff	0.0001	2
3	helix_relu_l1_l1_3e-04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_3e-04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_3e-04_seed0	helix	relu_l1	l1_coeff	0.0003	0
4	helix_relu_l1_l1_3e-04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_3e-04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_3e-04_seed1	helix	relu_l1	l1_coeff	0.0003	1
5	helix_relu_l1_l1_3e-04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_3e-04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_3e-04_seed2	helix	relu_l1	l1_coeff	0.0003	2
6	helix_relu_l1_l1_1e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_1e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_1e-03_seed0	helix	relu_l1	l1_coeff	0.001	0
7	helix_relu_l1_l1_1e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_1e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_1e-03_seed1	helix	relu_l1	l1_coeff	0.001	1
8	helix_relu_l1_l1_1e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_1e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_1e-03_seed2	helix	relu_l1	l1_coeff	0.001	2
9	helix_relu_l1_l1_3e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_helix/helix_relu_l1_l1_3e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/relu_l1/l1_3e-03_seed0	helix	relu_l1	l1_coeff	0.003	0
