idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
0	circle_topk_k16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k16_seed0	circle	topk	k	16	0
1	helix_topk_k16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k16_seed0	helix	topk	k	16	0
2	torus_topk_k16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k16_seed0	torus	topk	k	16	0
3	sphere_topk_k16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k16_seed0	sphere	topk	k	16	0
4	circle_topk_k16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k16_seed1	circle	topk	k	16	1
5	helix_topk_k16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k16_seed1	helix	topk	k	16	1
6	torus_topk_k16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k16_seed1	torus	topk	k	16	1
7	sphere_topk_k16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k16_seed1	sphere	topk	k	16	1
8	circle_topk_k16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k16_seed2	circle	topk	k	16	2
9	helix_topk_k16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k16_seed2	helix	topk	k	16	2
10	torus_topk_k16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k16_seed2	torus	topk	k	16	2
11	sphere_topk_k16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k16_seed2	sphere	topk	k	16	2
12	circle_topk_k24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k24_seed0	circle	topk	k	24	0
13	helix_topk_k24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k24_seed0	helix	topk	k	24	0
14	torus_topk_k24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k24_seed0	torus	topk	k	24	0
15	sphere_topk_k24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/sphere_topk_k24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/sphere/topk/k24_seed0	sphere	topk	k	24	0
16	circle_topk_k24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/circle_topk_k24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k24_seed1	circle	topk	k	24	1
17	helix_topk_k24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/helix_topk_k24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/helix/topk/k24_seed1	helix	topk	k	24	1
18	torus_topk_k24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_topk_high/torus_topk_k24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/torus/topk/k24_seed1	torus	topk	k	24	1
