idx	run_id	config_path	out_dir	topology	arch	sparsity_knob	sparsity_value	seed
0	circle_relu_l1_l1_1e-04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-04_seed0	circle	relu_l1	l1_coeff	0.0001	0
1	circle_relu_l1_l1_1e-04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-04_seed1	circle	relu_l1	l1_coeff	0.0001	1
2	circle_relu_l1_l1_1e-04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-04_seed2	circle	relu_l1	l1_coeff	0.0001	2
3	circle_relu_l1_l1_3e-04_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_3e-04_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_3e-04_seed0	circle	relu_l1	l1_coeff	0.0003	0
4	circle_relu_l1_l1_3e-04_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_3e-04_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_3e-04_seed1	circle	relu_l1	l1_coeff	0.0003	1
5	circle_relu_l1_l1_3e-04_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_3e-04_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_3e-04_seed2	circle	relu_l1	l1_coeff	0.0003	2
6	circle_relu_l1_l1_1e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-03_seed0	circle	relu_l1	l1_coeff	0.001	0
7	circle_relu_l1_l1_1e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-03_seed1	circle	relu_l1	l1_coeff	0.001	1
8	circle_relu_l1_l1_1e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-03_seed2	circle	relu_l1	l1_coeff	0.001	2
9	circle_relu_l1_l1_3e-03_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_3e-03_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_3e-03_seed0	circle	relu_l1	l1_coeff	0.003	0
10	circle_relu_l1_l1_3e-03_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_3e-03_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_3e-03_seed1	circle	relu_l1	l1_coeff	0.003	1
11	circle_relu_l1_l1_3e-03_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_3e-03_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_3e-03_seed2	circle	relu_l1	l1_coeff	0.003	2
12	circle_relu_l1_l1_1e-02_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-02_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-02_seed0	circle	relu_l1	l1_coeff	0.01	0
13	circle_relu_l1_l1_1e-02_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-02_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-02_seed1	circle	relu_l1	l1_coeff	0.01	1
14	circle_relu_l1_l1_1e-02_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_relu_l1_l1_1e-02_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/relu_l1/l1_1e-02_seed2	circle	relu_l1	l1_coeff	0.01	2
15	circle_topk_k01_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_topk_k01_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k01_seed0	circle	topk	k	1	0
16	circle_topk_k01_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_topk_k01_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k01_seed1	circle	topk	k	1	1
17	circle_topk_k01_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_topk_k01_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k01_seed2	circle	topk	k	1	2
18	circle_topk_k02_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_topk_k02_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k02_seed0	circle	topk	k	2	0
19	circle_topk_k02_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v1/circle_topk_k02_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v1/circle/topk/k02_seed1	circle	topk	k	2	1
