idx	run_id	config_path	out_dir	topology	arch	target_L0	coeff	calib_achieved_L0	seed
0	circle_relu_l1_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t08_seed0	circle	relu_l1	8	0.025	7.70	0
1	circle_relu_l1_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t08_seed1	circle	relu_l1	8	0.025	7.70	1
2	circle_relu_l1_t08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t08_seed2	circle	relu_l1	8	0.025	7.70	2
3	circle_relu_l1_t16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t16_seed0	circle	relu_l1	16	0.01	15.87	0
4	circle_relu_l1_t16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t16_seed1	circle	relu_l1	16	0.01	15.87	1
5	circle_relu_l1_t16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t16_seed2	circle	relu_l1	16	0.01	15.87	2
6	circle_relu_l1_t24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t24_seed0	circle	relu_l1	24	0.0007	24.83	0
7	circle_relu_l1_t24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t24_seed1	circle	relu_l1	24	0.0007	24.83	1
8	circle_relu_l1_t24_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t24_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t24_seed2	circle	relu_l1	24	0.0007	24.83	2
9	circle_relu_l1_t32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_relu_l1_t32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/relu_l1/t32_seed0	circle	relu_l1	32	0.0005	31.49	0
