idx	run_id	config_path	out_dir	topology	arch	target_L0	coeff	calib_achieved_L0	seed
0	circle_jumprelu_t32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t32_seed0	circle	jumprelu	32	0.0001	32.93	0
1	circle_jumprelu_t32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t32_seed1	circle	jumprelu	32	0.0001	32.93	1
2	circle_jumprelu_t32_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/circle_jumprelu_t32_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/circle/jumprelu/t32_seed2	circle	jumprelu	32	0.0001	32.93	2
3	helix_jumprelu_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t08_seed0	helix	jumprelu	8	0.7	10.14	0
4	helix_jumprelu_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t08_seed1	helix	jumprelu	8	0.7	10.14	1
5	helix_jumprelu_t16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t16_seed0	helix	jumprelu	16	0.6	16.22	0
6	helix_jumprelu_t16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t16_seed1	helix	jumprelu	16	0.6	16.22	1
7	helix_jumprelu_t24_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t24_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t24_seed0	helix	jumprelu	24	0.5	25.96	0
8	helix_jumprelu_t24_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t24_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t24_seed1	helix	jumprelu	24	0.5	25.96	1
9	helix_jumprelu_t32_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t32_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t32_seed0	helix	jumprelu	32	0.4	33.64	0
10	helix_jumprelu_t32_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/helix_jumprelu_t32_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/helix/jumprelu/t32_seed1	helix	jumprelu	32	0.4	33.64	1
11	sphere_jumprelu_t08_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t08_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t08_seed0	sphere	jumprelu	8	0.0002	9.01	0
12	sphere_jumprelu_t08_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t08_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t08_seed1	sphere	jumprelu	8	0.0002	9.01	1
13	sphere_jumprelu_t08_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t08_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t08_seed2	sphere	jumprelu	8	0.0002	9.01	2
14	sphere_jumprelu_t16_seed0	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t16_seed0.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t16_seed0	sphere	jumprelu	16	0.00015	16.45	0
15	sphere_jumprelu_t16_seed1	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t16_seed1.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t16_seed1	sphere	jumprelu	16	0.00015	16.45	1
16	sphere_jumprelu_t16_seed2	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/configs/sweep_v2/sphere_jumprelu_t16_seed2.yaml	/n/holylabs/mweber_lab/Everyone/cbrownpinilla/sae_topology/results/sweep_v2/sphere/jumprelu/t16_seed2	sphere	jumprelu	16	0.00015	16.45	2
