topo,arch,knob,knob_val,seed,mse,mean_l0,n_dead,E,modal_betti,correct_region_frac,spectral_pass,mapper_pass,multiplicity_pass,overall_pass
circle,relu_l1,l1_1e-02,0.01,0,0.0025728456676006317,8.7578125,95,0.20996374777745153,"(20, 1)",0.0,False,False,False,False
circle,relu_l1,l1_1e-02,0.01,1,0.002662315731868148,8.70703125,101,0.09560905626024266,"(3, 1)",0.0,False,False,False,False
circle,relu_l1,l1_1e-02,0.01,2,0.0025573684833943844,9.23828125,99,0.18204430608004304,"(9, 0)",0.0,False,False,False,False
circle,relu_l1,l1_1e-03,0.001,0,0.00037731335032731295,28.0625,31,0.14649431265266585,"(1, 1)",0.20833333333333334,False,False,False,False
circle,relu_l1,l1_1e-03,0.001,1,0.0007605823338963091,27.140625,20,0.0787273103618273,"(2, 1)",0.041666666666666664,False,False,False,False
circle,relu_l1,l1_1e-03,0.001,2,0.00046997147728689015,23.6328125,41,0.10217198226910297,"(3, 1)",0.041666666666666664,False,False,False,False
circle,relu_l1,l1_1e-04,0.0001,0,0.00010720732097979635,18.140625,30,0.21551210289207112,"(1, 1)",0.5833333333333334,False,True,False,False
circle,relu_l1,l1_1e-04,0.0001,1,9.48538800003007e-05,27.55859375,14,0.18367081705123023,"(1, 1)",0.75,False,True,False,False
circle,relu_l1,l1_1e-04,0.0001,2,9.544495696900412e-05,17.9375,30,0.1931629659329988,"(1, 1)",0.6666666666666666,False,True,False,False
circle,relu_l1,l1_3e-03,0.003,0,0.0008514299988746643,26.79296875,22,0.07677409824104549,"(2, 1)",0.08333333333333333,False,False,False,False
circle,relu_l1,l1_3e-03,0.003,1,0.0010395206045359373,25.5390625,25,0.12194249002545832,"(3, 1)",0.041666666666666664,False,False,False,False
circle,relu_l1,l1_3e-03,0.003,2,0.0009453837992623448,24.234375,30,0.051689099993351646,"(1, 1)",0.08333333333333333,False,False,False,False
circle,relu_l1,l1_3e-04,0.0003,0,0.00014961314445827156,38.3046875,19,0.01328687993704686,"(1, 1)",0.3333333333333333,True,False,True,False
circle,relu_l1,l1_3e-04,0.0003,1,0.0001423328649252653,36.3671875,29,0.045453464393920076,"(1, 1)",0.5,True,True,False,False
circle,relu_l1,l1_3e-04,0.0003,2,0.00015962100587785244,35.83984375,40,0.14144982432887385,"(1, 1)",0.375,False,False,False,False
circle,topk,k02,2.0,0,0.0001965782284969464,2.0,66,inf,"(217, 0)",0.0,False,False,False,False
circle,topk,k02,2.0,1,0.00012197285104775801,2.0,67,inf,"(237, 0)",0.0,False,False,False,False
circle,topk,k02,2.0,2,0.00012044461618643254,2.0,73,inf,"(237, 0)",0.0,False,False,False,False
circle,topk,k03,3.0,0,0.00017582353029865772,3.0,23,inf,"(522, 0)",0.0,False,False,False,False
circle,topk,k03,3.0,1,0.00014498468954116106,3.0,38,inf,"(549, 0)",0.0,False,False,False,False
circle,topk,k03,3.0,2,0.00017491956532467157,3.0,42,inf,"(549, 0)",0.0,False,False,False,False
circle,topk,k04,4.0,0,0.0001792596885934472,4.0,78,inf,"(287, 0)",0.0,False,False,False,False
circle,topk,k04,4.0,1,0.0001785023632692173,4.0,85,inf,"(259, 0)",0.0,False,False,False,False
circle,topk,k04,4.0,2,0.00014285701035987586,4.0,65,inf,"(442, 0)",0.0,False,False,False,False
circle,topk,k08,8.0,0,0.0001068767232936807,7.43359375,73,11.974559108450256,"(155, 0)",0.0,False,False,False,False
circle,topk,k08,8.0,2,0.00010761643352452666,8.0,11,12.673951413003227,"(588, 0)",0.0,False,False,False,False
circle,topk,k24,24.0,1,0.0002027171867666766,24.0,39,inf,"(44, 0)",0.0,False,False,False,False
circle,topk,k24,24.0,2,0.0001566973514854908,24.0,4,inf,"(13, 1)",0.0,False,False,False,False
circle,topk,k32,32.0,0,0.00017242631292901933,32.0,16,inf,"(37, 0)",0.0,False,False,False,False
circle,topk,k32,32.0,1,0.0001828059903346002,32.0,9,inf,"(12, 0)",0.0,False,False,False,False
circle,topk,k32,32.0,2,0.00012095501006115228,31.52734375,35,1.0776613768631351,"(4, 0)",0.0,False,False,False,False
helix,relu_l1,l1_1e-02,0.01,0,0.00996825098991394,44.3359375,38,0.028150160096980414,"(1, 0)",0.8333333333333334,True,True,True,False
